Executando em modo automático:
  Instância: 2
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: C102.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 54715623293812
2026-05-22 09:16:23.592 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-22 09:16:23.620 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 1484,81, Tempo: 5636,33, Comb: 760,28
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 860000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 865000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 870000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 875000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 880000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 885000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 890000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 895000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 900000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 905000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 910000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 915000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 920000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 925000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 930000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 935000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 940000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 945000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 950000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 955000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 960000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 965000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 970000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 975000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 980000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 985000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 990000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 995000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 1000000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 1005000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 1010000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
[Eval 1015000] Best: Dist=1249,56, Time=5495,93, Fuel=633,98 | Unique solutions: 29387
